ts_code,end_date,ann_date,roe,roa,grossprofit_margin,or_yoy
,20190331,20190629,2.97,0.2143,29.7666,
,20190630,20190928,6.14,0.4395,69.6472,
,20190930,20191229,8.2,0.6629,,
,20191231,20200330,10.01,0.7664,,
,20200331,20200629,2.43,0.2118,,
,20200630,20200928,4.55,0.337,,
,20200930,20201229,6.24,0.5406,,
,20201231,20210331,9.26,0.6881,,
,20210331,20210629,2.72,0.2241,,
,20210630,20210928,5.06,0.3826,,
,20210930,20211229,7.49,0.6251,,
,20211231,20220331,10.29,0.7739,,
,20220331,20220629,3.16,0.256,,
,20220630,20220928,5.86,0.4404,,
,20220930,20221229,8.62,0.7247,,
,20221231,20230331,10.47,0.8887,,
,20230331,20230629,3.27,0.271,,
,20230630,20230928,5.62,0.4692,,
,20230930,20231229,8.51,0.7314,,
,20231231,20240330,9.84,0.8517,,
,20240331,20240629,3.08,0.2639,,
,20240630,20240928,5.37,0.4564,,
,20240930,20241229,8.1,0.7011,,
,20241231,20250331,8.99,0.7838,,
,20250331,20250629,2.79,0.2441,,
,20250630,20250928,4.88,0.4272,,
,20250930,20251229,7.4,0.6647,,
,20251231,20260331,7.73,0.7291,,
,20260331,20260629,2.67,0.2429,,
,20190331,20190629,0.71,0.2082,35.044,56.93
,20190630,20190928,7.35,1.242,36.2453,31.4656
,20190930,20191229,10.9,1.8053,,27.2083
,20191231,20200330,20.67,3.3839,,23.5873
,20200331,20200629,0.66,0.1401,,-1.2409
,20200630,20200928,6.39,1.0537,,5.0455
,20200930,20201229,9.8,1.6969,,7.8497
,20201231,20210331,18.49,3.2952,,13.9219
,20210331,20210629,0.57,0.1328,,30.3296
,20210630,20210928,4.98,0.8458,,14.1862
,20210930,20211229,7.33,1.2826,,12.4204
,20211231,20220331,9.55,1.9995,,8.0375
,20220331,20220629,0.6,0.1434,,0.6472
,20220630,20220928,5.22,0.9483,,23.8197
,20220930,20221229,7.07,1.4449,,24.3797
,20221231,20230331,9.32,2.0321,,11.2723
,20230331,20230629,0.59,0.1619,,9.2663
,20230630,20230928,3.96,0.8815,,-2.9112
,20230930,20231229,5.39,1.2355,,-14.0268
,20231231,20240330,4.85,1.2542,,-7.5618
,20240331,20240629,-0.14,0.0223,,-10.0474
,20240630,20240928,-4.077,-0.5821,,-28.9278
,20240930,20241229,-7.66,-1.1459,,-24.2548
,20241231,20250331,-24.41,-3.4899,,-26.3157
,20250331,20250629,-3.18,-0.5071,,-38.3145
,20250630,20250928,-6.24,-0.8761,,-26.2332
,20250930,20251229,-15.94,-2.3309,,-26.6065
,20251231,20260331,-75.75,-7.9597,,-31.9788
,20260331,20260629,-5.38,-0.6037,,-23.8633
,20190331,20190629,2.9,0.8241,39.9719,-23.1236
,20190630,20190928,4.81,1.3511,39.207,13.1244
,20190930,20191229,12.17,3.4848,,9.3158
,20191231,20200330,14.67,4.2703,,6.1083
,20200331,20200629,1.89,0.5641,,-3.2309
,20200630,20200928,4.51,1.5154,,5.8063
,20200930,20201229,6.47,2.0979,,15.3932
,20201231,20210331,9.84,3.2358,,11.8079
,20210331,20210629,4.76,1.3613,,22.1423
,20210630,20210928,8.69,2.8753,,12.44
,20210930,20211229,11.8,3.7836,,13.0795
,20211231,20220331,13.23,4.4057,,12.8841
,20220331,20220629,4.13,1.1693,,6.4349
,20220630,20220928,8.31,2.6094,,12.7138
,20220930,20221229,11.9,3.8238,,10.4191
,20221231,20230331,13.78,4.456,,7.3635
,20230331,20230629,4.32,1.4324,,4.3416
,20230630,20230928,8.61,2.9374,,1.482
,20230930,20231229,11.83,4.1927,,-3.4201
,20231231,20240330,13.71,4.8393,,1.0544
,20240331,20240629,3.87,1.3488,,4.9255
,20240630,20240928,8.14,2.8098,,2.936
,20240930,20241229,10.93,3.9171,,0.7284
,20241231,20250331,11.57,4.0931,,-2.3759
,20250331,20250629,3.39,1.1589,,7.8157
,20250630,20250928,6.76,2.3872,,14.508
,20250930,20251229,7.09,2.5331,,11.6332
,20251231,20260331,7.45,2.6185,,10.3849
,20260331,20260629,1.71,0.5945,,6.1267
