factor,count,mean,std,skew,min,p1,p25,median,p75,p99,max,missing_rate
composite_equal,44536,1.6991378066833724e-17,0.41127870429497854,-0.7407916573359752,-3.0255368063170227,-1.1827387498717654,-0.24003356794321512,0.03177011665571474,0.29113171818692335,0.7741219383605324,1.0962504057723368,0.0
composite_equal_size_neutral,44536,-1.784892414297674e-17,0.36697470355271705,-1.2933598691436916,-3.1658493521697713,-1.1596306739341256,-0.17439196944025007,0.06215640471899339,0.2489092650085907,0.6051268355614511,0.9202025802883332,0.0
composite_equal_industry_size_neutral,44536,1.7446326203159597e-17,0.3598252169211282,-1.292393174129346,-3.1265939882785387,-1.1428475641196547,-0.16379215256897842,0.05062133231709101,0.24061957799243605,0.6115898822411895,1.0163960322034227,0.0
composite_equal_neutral,44536,-1.784892414297674e-17,0.36697470355271705,-1.2933598691436916,-3.1658493521697713,-1.1596306739341256,-0.17439196944025007,0.06215640471899339,0.2489092650085907,0.6051268355614511,0.9202025802883332,0.0
composite_ic_weight,44536,-8.111787592352836e-18,0.8908288078320344,-1.6221812122962809,-5.3357599565689,-3.1020345378637755,-0.32957463546512206,0.18749121768726545,0.5769056694785577,1.3293511956509219,1.640750440304084,0.0
composite_ic_weight_size_neutral,44536,1.4957199002494475e-18,0.8794744852071458,-1.5208467480526215,-5.252966121114075,-3.019763888878892,-0.33002338465385067,0.16115317101157633,0.566503321357632,1.3236616283561091,1.7026250844364317,0.0
composite_ic_weight_industry_size_neutral,44536,-9.084005527514977e-18,0.8644877800886891,-1.5154603657681274,-5.154036744186132,-2.978569448473529,-0.32041335482224265,0.1402603338169357,0.5517185207189219,1.342741106351711,1.7649670640194886,0.0
composite_ic_weight_neutral,44536,1.4957199002494475e-18,0.8794744852071458,-1.5208467480526215,-5.252966121114075,-3.019763888878892,-0.33002338465385067,0.16115317101157633,0.566503321357632,1.3236616283561091,1.7026250844364317,0.0
composite_pca,43616,-1.0181795897149272e-18,1.4501067820608013,-1.443131496740443,-9.930578534841636,-4.918816285101087,-0.6418772551741272,0.2914432879348321,0.9812435350454374,2.2360623242810806,4.1270602275083075,0.020657445661936412
composite_pca_size_neutral,43616,1.5038512540089473e-17,1.356871218963491,-1.489980736514532,-9.712644555696695,-4.655650679205396,-0.581420533358747,0.2594670737502531,0.9138043399655756,2.0763633405960316,4.18918444535702,0.020657445661936412
composite_pca_industry_size_neutral,43616,-2.586176157875915e-17,1.328757339307581,-1.4874798172819477,-9.539360252132086,-4.5732814717934245,-0.5627128296506068,0.22396855744468308,0.8917314855377433,2.0948994689397824,4.147486715477579,0.020657445661936412
composite_pca_neutral,43616,1.5038512540089473e-17,1.356871218963491,-1.489980736514532,-9.712644555696695,-4.655650679205396,-0.581420533358747,0.2594670737502531,0.9138043399655756,2.0763633405960316,4.18918444535702,0.020657445661936412
composite_rolling_ic_weight,44536,1.3576150961264151e-17,0.720133499401787,-1.0467114483600544,-4.967631382250122,-2.3455640441220926,-0.3449218690966187,0.09068096154782736,0.4572275293596221,1.3722114446592117,3.0322370546869695,0.0
composite_rolling_ic_weight_size_neutral,44536,-1.2598947293101179e-17,0.6624063033490886,-1.2980343313426301,-4.9068300356841155,-2.3355461710033865,-0.23575664208975,0.07634051353296331,0.36433845820260713,1.3398278869865212,3.1064276236828667,0.0
composite_rolling_ic_weight_industry_size_neutral,44536,1.3511336432253342e-17,0.6521416724106028,-1.3015204817782784,-4.838594086134121,-2.3360123012299185,-0.2230622641351885,0.06279923667104947,0.357029953542296,1.3662375599461467,3.113727489454122,0.0
