model,avg_turnover,median_turnover,sample_periods
composite_equal,0.159041394335512,0.11111111111111116,969
composite_equal_size_neutral,0.2073156748079349,0.2222222222222222,969
composite_equal_industry_size_neutral,0.20765967205595695,0.2222222222222222,969
composite_equal_neutral,0.2073156748079349,0.2222222222222222,969
composite_ic_weight,0.0712074303405573,0.11111111111111116,969
composite_ic_weight_size_neutral,0.06386882238275429,0.0,969
composite_ic_weight_industry_size_neutral,0.06822612085769983,0.11111111111111116,969
composite_ic_weight_neutral,0.06386882238275429,0.0,969
composite_pca,0.2382624985364712,0.2222222222222222,949
composite_pca_size_neutral,0.23674042852125052,0.2222222222222222,949
composite_pca_industry_size_neutral,0.23756000468329241,0.2222222222222222,949
composite_pca_neutral,0.23674042852125052,0.2222222222222222,949
composite_rolling_ic_weight,0.11042311661506711,0.11111111111111116,969
composite_rolling_ic_weight_size_neutral,0.12854030501089328,0.11111111111111116,969
composite_rolling_ic_weight_industry_size_neutral,0.13392959522990489,0.11111111111111116,969
