component,factor,loading
PC1,factor_momentum,-0.4890907856578303
PC1,factor_volatility,0.5878570547450075
PC1,factor_turnover,0.5404046163204907
PC1,factor_size,-0.08371135598278755
PC1,factor_reversal_5d,0.34083653869583463
PC2,factor_momentum,0.4754973007326015
PC2,factor_volatility,0.34791834697266905
PC2,factor_turnover,0.4452808438695007
PC2,factor_size,-0.14303208960854805
PC2,factor_reversal_5d,-0.6588793002218938
PC3,factor_momentum,0.013989156195094459
PC3,factor_volatility,0.09648999447083526
PC3,factor_turnover,0.1100320603210457
PC3,factor_size,0.9860035968083348
PC3,factor_reversal_5d,-0.0786373782529624
PC4,factor_momentum,-0.7075377143491733
PC4,factor_volatility,0.01765617435580835
PC4,factor_turnover,-0.2443031039324899
PC4,factor_size,-0.017274937623641223
PC4,factor_reversal_5d,-0.6626433522036684
PC5,factor_momentum,-0.18408478118278218
PC5,factor_volatility,-0.7237090903812566
PC5,factor_turnover,0.6617376820559829
PC5,factor_size,-0.0057196007606223126
PC5,factor_reversal_5d,-0.06654676664373156
