trade_date,trade_constraints,blocked_buy_count,blocked_sell_count,selected_count,retained_due_to_sell_block_count
2020-01-02,True,0,0,20,0
2020-02-07,True,0,0,20,0
2020-03-06,True,0,0,20,0
2020-04-03,True,0,0,20,0
2020-05-07,True,0,0,20,0
2020-06-04,True,0,0,20,0
2020-07-06,True,7,0,20,0
2020-08-03,True,2,0,20,0
2020-08-31,True,0,0,20,0
2020-09-28,True,0,0,20,0
2020-11-03,True,0,0,20,0
2020-12-01,True,2,0,20,0
2020-12-29,True,1,0,20,0
2021-01-27,True,0,0,20,0
2021-03-03,True,1,0,20,0
2021-03-31,True,0,0,20,0
2021-04-29,True,0,0,20,0
2021-06-01,True,0,0,20,0
2021-06-30,True,0,0,20,0
2021-07-28,True,0,0,20,0
2021-08-25,True,0,0,20,0
2021-09-24,True,0,0,20,0
2021-10-29,True,0,0,20,0
2021-11-26,True,0,0,20,0
2021-12-24,True,0,0,20,0
2022-01-24,True,0,0,20,0
2022-02-28,True,0,0,20,0
2022-03-28,True,0,0,20,0
2022-04-27,True,0,0,20,0
2022-05-30,True,0,0,20,0
2022-06-28,True,1,0,20,0
2022-07-26,True,0,0,20,0
2022-08-23,True,0,0,20,0
2022-09-21,True,0,0,20,0
2022-10-26,True,0,0,20,0
2022-11-23,True,0,0,20,0
2022-12-21,True,0,0,20,0
2023-01-19,True,0,0,20,0
2023-02-23,True,0,0,20,0
2023-03-23,True,0,0,20,0
2023-04-21,True,0,0,20,0
2023-05-24,True,0,0,20,0
2023-06-21,True,1,0,20,0
2023-07-21,True,1,0,20,0
2023-08-18,True,0,0,20,0
2023-09-15,True,0,0,20,0
2023-10-23,True,0,0,20,0
2023-11-20,True,0,0,20,0
2023-12-18,True,0,0,20,0
