page,material_type,material,exists
2,table,data_quality_check.csv,True
2,table,extreme_event_availability.csv,True
3,table,risk_metrics_summary.csv,True
3,chart,nav_comparison.png,True
3,chart,drawdown_curve.png,True
4,table,market_effect_summary.csv,True
4,table,alpha_beta_summary.csv,True
4,table,rolling_beta.csv,True
4,table,up_down_capture.csv,True
4,chart,market_effect_decomposition.png,True
4,chart,rolling_beta.png,True
4,chart,up_down_capture.png,True
5,table,total_return_decomposition.csv,True
5,table,brinson_total.csv,True
5,chart,brinson_stack_chart.png,True
6,table,brinson_by_year.csv,True
6,table,brinson_by_industry.csv,True
7,table,extreme_event_diagnostics.csv,True
7,table,extreme_event_stress_score.csv,True
7,chart,extreme_event_score_bar.png,True
7,chart,extreme_event_return_drawdown.png,True
8,table,extreme_market_test.csv,True
8,chart,extreme_market_2020_covid_shock.png,True
9,table,extreme_event_availability.csv,True
10,table,risk_exposure_industry.csv,True
10,table,risk_exposure_holding_concentration.csv,True
10,table,risk_exposure_turnover.csv,True
11,table,risk_control_comparison.csv,True
11,table,dynamic_factor_weight_proposal.csv,True
11,table,improvement_priority_score.csv,True
11,chart,risk_control_nav_comparison.png,True
11,chart,risk_control_drawdown_comparison.png,True
11,chart,dynamic_factor_weight.png,True
11,chart,improvement_priority_matrix.png,True
12,table,strategy_improvement_list_v4_1.csv,True
