page,page_title,core_message,tables,charts
1,Week 4 研究目标与框架,说明风险管理与报告撰写模块如何承接 Week 1-3。,,
2,数据来源与样本限制,列出输入数据、静态样本限制和动态股票池待补事项。,data_quality_check.csv; extreme_event_availability.csv,
3,基础风险收益表现,展示策略、样本等权基准和沪深300的收益风险对比。,risk_metrics_summary.csv,nav_comparison.png; drawdown_curve.png
4,市场效应与 Beta 风险,显性化市场效应、Alpha/Beta、滚动 Beta 和上下行捕获率。,market_effect_summary.csv; alpha_beta_summary.csv; rolling_beta.csv; up_down_capture.csv,market_effect_decomposition.png; rolling_beta.png; up_down_capture.png
5,Brinson 归因方法与总结果,解释市场、行业配置、选股和交互效应的收益拆解。,total_return_decomposition.csv; brinson_total.csv,brinson_stack_chart.png
6,年度与行业归因,展示 Brinson 年度和行业维度结果。,brinson_by_year.csv; brinson_by_industry.csv,
7,极端行情压力测试总览,汇总极端事件日历、数据可用性和压力得分。,extreme_event_diagnostics.csv; extreme_event_stress_score.csv,extreme_event_score_bar.png; extreme_event_return_drawdown.png
8,2020 疫情冲击分析,重点分析当前样本覆盖的 2020 疫情冲击阶段。,extreme_market_test.csv,extreme_market_2020_covid_shock.png
9,2015 股灾数据限制与预留分析,说明当前静态样本不覆盖 2015，保留事件框架等待动态数据重跑。,extreme_event_availability.csv,
10,行业暴露、集中度与换手率风险,复盘组合风险暴露、持仓集中度和交易成本压力。,risk_exposure_industry.csv; risk_exposure_holding_concentration.csv; risk_exposure_turnover.csv,
11,风控模拟与策略改进建议,展示止损、仓位控制、动态因子权重和改进建议评分。,risk_control_comparison.csv; dynamic_factor_weight_proposal.csv; improvement_priority_score.csv,risk_control_nav_comparison.png; risk_control_drawdown_comparison.png; dynamic_factor_weight.png; improvement_priority_matrix.png
12,总结、局限性与后续优化,总结 Week 4 发现，并连接动态股票池正式版和完整报告。,strategy_improvement_list_v4_1.csv,
